Date,Company_ID,Ticker,Market_Cap_Billion_HKD,Market_Cap_Native_Billion,Currency,Close,Source,Updated_At
2026-02-12,minimax,0100.HK,184.417560,184.417560,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-12,zhipu,2513.HK,179.228920,179.228920,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-13,minimax,0100.HK,213.272010,213.272010,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-13,zhipu,2513.HK,216.233900,216.233900,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-16,minimax,0100.HK,265.649110,265.649110,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-16,zhipu,2513.HK,226.488290,226.488290,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-20,minimax,0100.HK,304.226250,304.226250,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-20,zhipu,2513.HK,323.236240,323.236240,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-23,minimax,0100.HK,263.610480,263.610480,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-23,zhipu,2513.HK,249.672130,249.672130,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-24,minimax,0100.HK,275.999070,275.999070,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-24,zhipu,2513.HK,279.989460,279.989460,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-25,minimax,0100.HK,236.324200,236.324200,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-25,zhipu,2513.HK,249.895050,249.895050,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-26,minimax,0100.HK,247.301440,247.301440,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-26,zhipu,2513.HK,248.111680,248.111680,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-27,minimax,0100.HK,239.460560,239.460560,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-02-27,zhipu,2513.HK,256.359780,256.359780,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-02,minimax,0100.HK,236.010570,236.010570,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-02,zhipu,2513.HK,245.213700,245.213700,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-03,minimax,0100.HK,257.494590,257.494590,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-03,zhipu,2513.HK,235.405150,235.405150,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-04,minimax,0100.HK,230.521950,230.521950,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-04,zhipu,2513.HK,227.379980,227.379980,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-05,minimax,0100.HK,250.908250,250.908250,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-05,zhipu,2513.HK,231.838410,231.838410,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-06,minimax,0100.HK,252.633240,252.633240,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-06,zhipu,2513.HK,237.188520,237.188520,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-09,minimax,0100.HK,312.694400,312.694400,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-09,zhipu,2513.HK,256.359780,256.359780,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-10,minimax,0100.HK,382.635080,382.635080,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-10,zhipu,2513.HK,289.352170,289.352170,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-11,minimax,0100.HK,357.857890,357.857890,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-11,zhipu,2513.HK,271.741360,271.741360,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-12,minimax,0100.HK,339.980670,339.980670,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-12,zhipu,2513.HK,247.665840,247.665840,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-13,minimax,0100.HK,316.771660,316.771660,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-13,zhipu,2513.HK,236.296840,236.296840,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-16,minimax,0100.HK,322.103460,322.103460,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-16,zhipu,2513.HK,269.735070,269.735070,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-17,minimax,0100.HK,323.985270,323.985270,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-17,zhipu,2513.HK,277.091480,277.091480,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-18,minimax,0100.HK,388.280510,388.280510,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-18,zhipu,2513.HK,331.038490,331.038490,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-19,minimax,0100.HK,334.335240,334.335240,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-19,zhipu,2513.HK,293.810600,293.810600,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-20,minimax,0100.HK,316.458030,316.458030,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-20,zhipu,2513.HK,281.104070,281.104070,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-23,minimax,0100.HK,287.446760,287.446760,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-23,zhipu,2513.HK,263.047420,263.047420,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-24,minimax,0100.HK,323.044370,323.044370,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-24,zhipu,2513.HK,292.027220,292.027220,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-25,minimax,0100.HK,338.412500,338.412500,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-25,zhipu,2513.HK,338.840750,338.840750,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-26,minimax,0100.HK,309.244410,309.244410,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-26,zhipu,2513.HK,304.956670,304.956670,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-27,minimax,0100.HK,310.498950,310.498950,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
